fiscal_year,sector,sector_name,capital_net_lending,financial_net_lending,capital_net_lending_ratio,financial_net_lending_ratio,capital_financial_difference
2012,npish,対家計民間非営利団体,-252.3,-202.5,-0.1,0.0,-49.80000000000001
2012,rest_of_world,海外部門,-3878.5,-3878.5,-0.8,-0.8,0.0
2013,nonfinancial_corporations,非金融法人企業,38638.9,27101.6,7.4,5.2,11537.300000000003
2013,financial_corporations,金融機関,4869.6,1907.0,0.9,0.4,2962.6000000000004
2013,general_government,一般政府,-37646.9,-32369.9,-7.3,-6.2,-5277.0
2013,households,家計,-4210.4,5232.3,-0.8,1.0,-9442.7
2013,npish,対家計民間非営利団体,-157.2,-61.9,0.0,0.0,-95.29999999999998
2013,rest_of_world,海外部門,-1809.1,-1809.1,-0.3,-0.3,0.0
2014,nonfinancial_corporations,非金融法人企業,30365.5,16660.9,5.7,3.1,13704.599999999999
2014,financial_corporations,金融機関,3789.6,-5819.3,0.7,-1.1,9608.9
2014,general_government,一般政府,-27153.2,-23836.0,-5.1,-4.5,-3317.2000000000007
2014,households,家計,-682.8,19279.8,-0.1,3.6,-19962.6
2014,npish,対家計民間非営利団体,858.5,2147.0,0.2,0.4,-1288.5
2014,rest_of_world,海外部門,-8432.4,-8432.4,-1.6,-1.6,0.0
2015,nonfinancial_corporations,非金融法人企業,36505.5,24170.0,6.6,4.4,12335.5
2015,financial_corporations,金融機関,-653.2,-2263.9,-0.1,-0.4,1610.7
2015,general_government,一般政府,-19493.2,-14620.4,-3.5,-2.6,-4872.800000000001
2015,households,家計,1997.1,11345.7,0.4,2.1,-9348.6
2015,npish,対家計民間非営利団体,638.3,-1036.6,0.1,-0.2,1674.8999999999999
2015,rest_of_world,海外部門,-17594.8,-17594.8,-3.2,-3.2,0.0
2016,nonfinancial_corporations,非金融法人企業,35421.5,7768.8,6.4,1.4,27652.7
2016,financial_corporations,金融機関,-872.0,6370.6,-0.2,1.1,-7242.6
2016,general_government,一般政府,-18958.3,-13584.0,-3.4,-2.4,-5374.299999999999
2016,households,家計,4488.5,18578.3,0.8,3.3,-14089.8
2016,npish,対家計民間非営利団体,710.6,2294.9,0.1,0.4,-1584.3000000000002
2016,rest_of_world,海外部門,-21428.6,-21428.6,-3.9,-3.9,0.0
2017,nonfinancial_corporations,非金融法人企業,33093.3,19424.2,5.8,3.4,13669.100000000002
2017,financial_corporations,金融機関,305.7,2293.9,0.1,0.4,-1988.2
2017,general_government,一般政府,-16452.9,-12281.2,-2.9,-2.2,-4171.700000000001
2017,households,家計,2970.7,10222.0,0.5,1.8,-7251.3
2017,npish,対家計民間非営利団体,535.9,2435.1,0.1,0.4,-1899.1999999999998
2017,rest_of_world,海外部門,-22094.0,-22094.0,-3.9,-3.9,0.0
2018,nonfinancial_corporations,非金融法人企業,25583.2,9288.9,4.5,1.6,16294.300000000001
2018,financial_corporations,金融機関,1350.7,251.0,0.2,0.0,1099.7
2018,general_government,一般政府,-13495.6,-10580.0,-2.4,-1.9,-2915.6000000000004
2018,households,家計,6800.7,21134.9,1.2,3.7,-14334.2
2018,npish,対家計民間非営利団体,2048.7,-875.9,0.4,-0.2,2924.6
2018,rest_of_world,海外部門,-19218.9,-19218.9,-3.4,-3.4,0.0
2019,nonfinancial_corporations,非金融法人企業,18882.7,4067.3,3.3,0.7,14815.400000000001
2019,financial_corporations,金融機関,2934.6,9260.0,0.5,1.6,-6325.4
2019,general_government,一般政府,-17512.8,-12823.4,-3.1,-2.2,-4689.4
2019,households,家計,12607.9,17811.7,2.2,3.1,-5203.800000000001
2019,npish,対家計民間非営利団体,995.9,-104.8,0.2,0.0,1100.7
2019,rest_of_world,海外部門,-18210.8,-18210.8,-3.2,-3.2,0.0
2020,nonfinancial_corporations,非金融法人企業,24359.5,6338.6,4.4,1.1,18020.9
