year,timing,resident_tax_income_year,monthly_total_cash_earnings_yen,monthly_regular_earnings_yen,monthly_special_earnings_yen,annual_regular_pay_yen,annual_bonus_yen,gross_salary_yen,pension_yen,health_insurance_yen,long_term_care_yen,employment_insurance_yen,social_insurance_yen,salary_income_deduction_yen,salary_income_yen,basic_deduction_yen,other_income_deductions_yen,taxable_income_yen,base_income_tax_yen,income_tax_yen,after_income_tax_and_social_insurance_yen,resident_tax_assessment_year,resident_basic_deduction_yen,resident_taxable_income_yen,base_resident_income_levy_yen,resident_adjustment_credit_yen,resident_other_reduction_yen,resident_income_levy_yen,resident_per_capita_yen,forest_environment_tax_yen,resident_tax_yen,total_deductions_yen,nominal_take_home_yen,effective_burden_rate,take_home_rate,cpi,real_gross_salary_yen,real_take_home_yen,gross_salary_index,nominal_take_home_index,real_gross_salary_index,real_take_home_index,income_tax_rate,resident_tax_rate,pension_rate_effective,health_insurance_rate_effective,employment_insurance_rate_effective,component_burden_rate_sum,component_burden_rate_error
2016,income_year,2016,317503.1666666667,261181.83333333334,56321.333333333336,3134182.0,675856.0,3810038.0,340634.45,189700.0,0.0,16023.6975,546358.1475,1302007.6,2508030.4,380000.0,0.0,1581000.0,79050.0,80700.0,3182979.8525,2017,330000.0,1631000.0,163100.0,2500.0,0.0,160600.0,5000.0,0.0,165600.0,792658.1475,3017379.8525,0.20804468288767722,0.7919553171123228,97.70833333333333,3899399.2324093813,3088149.9556503203,96.7162495386351,92.26578982342463,88.80572644204223,84.71927447667288,0.021180891109222534,0.04346413342859048,0.08940447575588485,0.04978952965823438,0.004205652935744998,0.20804468288767722,0.0
2017,income_year,2017,319040.8333333333,262401.5,56639.333333333336,3148818.0,679672.0,3828490.0,346089.79,189900.0,0.0,12272.6745,548262.4645,1305698.0,2522792.0,380000.0,0.0,1594000.0,79700.0,81300.0,3198927.5355,2018,330000.0,1644000.0,164400.0,2500.0,0.0,161900.0,5000.0,0.0,166900.0,796462.4645,3032027.5355,0.2080356653667634,0.7919643346332367,98.30833333333334,3894369.7550224634,3084201.9518521656,97.18464597890338,92.71368836691043,88.69118408145067,84.61096625906225,0.021235526277984272,0.043594210772393296,0.09039850959516675,0.04960180123233964,0.0032056174888794274,0.20803566536676338,2.7755575615628914e-17
2018,income_year,2018,323232.0833333333,264566.0,58666.083333333336,3174792.0,703993.0,3878785.0,349713.0,191100.0,0.0,11636.355,552449.355,1315757.0,2563028.0,380000.0,0.0,1630000.0,81500.0,83200.0,3243135.645,2019,330000.0,1680000.0,168000.0,2500.0,0.0,165500.0,5000.0,0.0,170500.0,806149.355,3072635.645,0.20783553483887351,0.7921644651611265,99.48333333333333,3898929.4689227673,3088593.3774501593,98.46136389367106,93.95540783194541,88.7950279510188,84.73143916223187,0.02145001591993369,0.04395706387438334,0.09016044972845878,0.04926800531609769,0.003,0.20783553483887351,0.0
2019,income_year,2019,322227.9166666667,264170.8333333333,58057.083333333336,3170050.0,696685.0,3866735.0,349164.0,190800.0,0.0,11600.205,551564.205,1313347.0,2553388.0,380000.0,0.0,1621000.0,81050.0,82700.0,3232470.795,2020,330000.0,1671000.0,167100.0,2500.0,0.0,164600.0,5000.0,0.0,169600.0,803864.205,3062870.795,0.20789224112849727,0.7921077588715026,100.04166666666667,3865124.531445231,3061595.130362349,98.15547959358257,93.65681712020229,88.02514729733525,83.99077826872951,0.021387553064794975,0.04386129383058317,0.0902994386737131,0.049343955559406065,0.003,0.2078922411284973,-2.7755575615628914e-17
2020,income_year,2020,318299.5833333333,262323.4166666667,55976.166666666664,3147881.0,671714.0,3819595.0,346785.0,189500.0,0.0,11458.785,547743.785,1203919.0,2615676.0,480000.0,0.0,1587000.0,79350.0,81000.0,3190851.215,2021,430000.0,1637000.0,163700.0,2500.0,0.0,161200.0,5000.0,0.0,166200.0,794943.785,3024651.215,0.2081225326245322,0.7918774673754678,100.0,3819594.9999999995,3024651.215,96.9588500578007,92.48813438624094,86.98824831019017,82.9772712335225,0.02120643680809091,0.04351246663586061,0.09079103936412107,0.0496125898164596,0.003,0.20812253262453217,2.7755575615628914e-17
2021,income_year,2021,319249.4166666667,263737.25,55512.166666666664,3164847.0,666146.0,3830993.0,346419.0,189300.0,0.0,11492.979,547211.979,1206198.6,2624794.4,480000.0,0.0,1597000.0,79850.0,81500.0,3202281.0209999997,2022,430000.0,1647000.0,164700.0,2500.0,0.0,162200.0,5000.0,0.0,167200.0,795911.979,3035081.0209999997,0.2077560514989195,0.7922439485010805,99.69166666666666,3842841.762099808,3044468.1310708015,97.24818360571844,92.80705819939553,87.51767488917199,83.52092189038638,0.021273857717829293,0.04364403693768169,0.09042538057365283,0.04941277626975565,0.0029999999999999996,0.20775605149891946,2.7755575615628914e-17
2022,income_year,2022,325527.0,267455.8333333333,58071.166666666664,3209470.0,696854.0,3906324.0,349164.0,190800.0,0.0,14020.561,553984.561,1221264.8,2685059.2,480000.0,0.0,1651000.0,82550.0,84200.0,3268139.4390000002,2023,430000.0,1701000.0,170100.0,2500.0,0.0,167600.0,5000.0,0.0,172600.0,810784.561,3095539.4390000002,0.20755691565778978,0.7924430843422103,102.64999999999999,3805478.811495373,3015625.366780322,99.16043009617206,94.6557626916798,86.6667633069807,82.72965912799356,0.02155479166602668,0.04418476296385041,0.08938429070399691,0.04884387470163765,0.0035891956222781317,0.20755691565778978,0.0
2023,income_year,2023,329417.1666666667,270218.5,59198.666666666664,3242622.0,710384.0,3953006.0,372405.0,203500.0,0.0,22907.3805,598812.3805,1230601.2000000002,2722404.8,480000.0,0.0,1643000.0,82150.0,83800.0,3270393.6195,2024,430000.0,1693000.0,169300.0,2500.0,10000.0,156800.0,4000.0,1000.0,161800.0,844412.3805,3108593.6195,0.21361272421544514,0.7863872757845548,106.58333333333333,3708840.6567630963,2916585.1003909307,100.34543349009164,95.05493493157266,84.46590593857127,80.01262153817915,0.021199057122604923,0.04093087640140187,0.0942080533143638,0.05147981055429716,0.0057949268227774,0.21361272421544514,0.0
2024,income_year,2024,347642.9166666667,281939.5833333333,65703.33333333333,3383275.0,788440.0,4171715.0,379542.0,207400.0,0.0,25030.29,611972.29,1274343.0,2897372.0,480000.0,0.0,1805000.0,90250.0,61500.0,3498242.71,2025,430000.0,1855000.0,185500.0,2500.0,0.0,183000.0,4000.0,1000.0,188000.0,861472.29,3310242.71,0.20650315038299596,0.7934968496170041,109.97500000000001,3793330.302341441,3009995.6444646507,105.89727161358158,101.22098412380234,86.39009064119261,82.57521520624806,0.014742138425084168,0.04506539876285892,0.09097984881517554,0.04971576437987734,0.006,0.206503150382996,-2.7755575615628914e-17
2025,income_year,2025,355636.1666666667,287408.3333333333,68227.83333333333,3448900.0,818734.0,4267634.0,382287.0,208900.0,0.0,23903.0995,615090.0995,1293526.8,2974107.2,880000.0,0.0,1479000.0,73950.0,75500.0,3577043.9005,2026,430000.0,1929000.0,192900.0,2500.0,0.0,190400.0,4000.0,1000.0,195400.0,885990.0995,3381643.9005,0.2076068612022493,0.7923931387977506,114.02499999999999,3742717.825038369,2965703.9250164437,108.33213602687518,103.40429797815747,85.23743159141547,81.36013096783185,0.01769130155022666,0.04578649434323562,0.08957820656598012,0.04894983965354105,0.005601019089265856,0.2076068612022493,0.0
