年,年齢,年齢区分,年収（万円）,年収（円）,月例賃金（円）,年間賞与相当額（円）,所得税（円）,住民税（円）,厚生年金（円）,健康保険（円）,介護保険（円）,雇用保険（円）,社会保険料総額（円）,控除総額（円）,名目手取り（円）,実効負担率（%）,手取り率（%）,手取り（100円あたり）,所得税（100円あたり）,住民税（100円あたり）,厚生年金（100円あたり）,健康保険（100円あたり）,介護保険（100円あたり）,雇用保険（100円あたり）,性別,扶養人数,給与所得のみ
1997,35,20～39歳,1000,10000000.0,647795.290252302,2226456.516972377,954800.0,533900.0,625322.0,330379.2,0.0,40000.0,995701.2,2484401.2,7515598.8,24.844012000000003,75.155988,75.155988,9.548,5.339,6.25322,3.3037919999999996,0.0,0.4,男性,0,True
1997,35,20～39歳,1050,10500000.0,680185.054764917,2337779.342820996,1046200.0,579600.0,625878.0,345652.8,0.0,42000.0,1013530.8,2639330.8,7860669.2,25.136483809523806,74.86351619047619,74.86351619047619,9.963809523809523,5.52,5.960742857142857,3.2919314285714285,0.0,0.4,男性,0,True
1997,35,20～39歳,1100,11000000.0,712574.819277532,2449102.168669615,1137600.0,644700.0,626435.0,360927.0,0.0,44000.0,1031362.0,2813662.0,8186338.0,25.578745454545455,74.42125454545454,74.42125454545454,10.341818181818182,5.860909090909091,5.694863636363636,3.2811545454545454,0.0,0.4,男性,0,True
1997,35,20～39歳,1150,11500000.0,744964.5837901472,2560424.994518234,1228000.0,712500.0,626992.0,381181.2,0.0,46000.0,1054173.2,2994673.2,8505326.8,26.04063652173913,73.95936347826087,73.95936347826087,10.678260869565218,6.195652173913044,5.452104347826086,3.314619130434783,0.0,0.4,男性,0,True
1997,35,20～39歳,1200,12000000.0,777354.3483027623,2671747.820366853,1318600.0,780400.0,627548.0,401434.8,0.0,48000.0,1076982.8,3175982.8,8824017.2,26.46652333333333,73.53347666666666,73.53347666666666,10.988333333333333,6.503333333333333,5.229566666666666,3.34529,0.0,0.4,男性,0,True
1997,35,20～39歳,1250,12500000.0,809744.1128153773,2783070.646215472,1413000.0,851200.0,628105.0,401769.0,0.0,50000.0,1079874.0,3344074.0,9155926.0,26.752591999999996,73.24740800000001,73.24740800000001,11.304,6.8096000000000005,5.02484,3.214152,0.0,0.4,男性,0,True
1997,35,20～39歳,1300,13000000.0,842133.8773279925,2894393.4720640895,1520100.0,919000.0,628661.0,422022.6,0.0,52000.0,1102683.6,3541783.6,9458216.399999999,27.244489230769236,72.75551076923077,72.75551076923077,11.693076923076925,7.069230769230771,4.835853846153847,3.2463276923076925,0.0,0.4000000000000001,男性,0,True
1997,35,20～39歳,1350,13500000.0,874523.6418406076,3005716.2979127085,1654200.0,986100.0,629218.0,447256.8,0.0,54000.0,1130474.8,3770774.8,9729225.2,27.931665185185185,72.0683348148148,72.0683348148148,12.253333333333332,7.304444444444444,4.660874074074075,3.313013333333333,0.0,0.4,男性,0,True
1997,35,20～39歳,1400,14000000.0,906913.4063532227,3117039.123761329,1788300.0,1053100.0,629775.0,472491.0,0.0,56000.0,1158266.0,3999666.0,10000334.0,28.569042857142858,71.43095714285714,71.43095714285714,12.77357142857143,7.522142857142858,4.498392857142857,3.3749357142857144,0.0,0.4,男性,0,True
1997,35,20～39歳,1450,14500000.0,939303.1708658377,3228361.9496099465,1929900.0,1123900.0,630331.0,472824.6,0.0,58000.0,1161155.6,4214955.6,10285044.4,29.068659310344824,70.93134068965517,70.93134068965517,13.309655172413793,7.75103448275862,4.347110344827587,3.2608593103448276,0.0,0.4,男性,0,True
