year,cpi,gross_salary_yen,actual_income_tax_yen,actual_resident_tax_yen,actual_pension_yen,actual_health_insurance_yen,actual_employment_insurance_yen,actual_total_deductions_yen,actual_nominal_take_home_yen,actual_real_take_home_yen,actual_effective_burden_rate,fixed_1990_gross_salary_yen,fixed_1990_income_tax_yen,fixed_1990_resident_tax_yen,fixed_1990_pension_yen,fixed_1990_health_insurance_yen,fixed_1990_employment_insurance_yen,fixed_1990_total_deductions_yen,fixed_1990_nominal_take_home_yen,fixed_1990_effective_burden_rate,fixed_1990_real_take_home_yen,income_tax_yen_difference_yen,resident_tax_yen_difference_yen,pension_yen_difference_yen,health_insurance_yen_difference_yen,employment_insurance_yen_difference_yen,total_deductions_yen_difference_yen,nominal_take_home_yen_difference_yen,real_take_home_difference_yen,burden_rate_difference_pt,fixed_policy_year
2014,96.84166666666664,3826178.0,81900.0,168000.0,327030.72,189600.0,19130.89,785661.61,3040516.39,3139677.8831425873,0.2053384892182224,3826178.0,183800.0,110500.0,223080.0,133056.0,21043.979,671479.979,3154698.0209999997,0.1754962730432301,3257583.3621891406,-101900.0,57500.0,103950.71999999997,56544.0,-1913.089,114181.63099999994,-114181.63099999959,-117905.47904655337,2.98422161749923,1990
2015,97.8,3786062.0,80000.0,164300.0,332506.99,188900.0,18930.31,784637.3,3001424.7,3068941.411042945,0.2072436478853225,3786062.0,180600.0,107300.0,223080.0,133017.0,20823.341,664820.341,3121241.659,0.17559679186447555,3191453.6390593047,-100600.0,57000.0,109426.98999999999,55883.0,-1893.030999999999,119816.95900000003,-119816.9589999998,-122512.22801635973,3.1646856020846963,1990
2016,97.70833333333331,3810038.0,80700.0,165600.0,340634.45,189700.0,16023.6975,792658.1475,3017379.8525,3088149.9556503203,0.2080446828876772,3810038.0000000005,182500.0,109200.0,223080.0,133067.4,20955.209,668802.6089999999,3141235.3910000008,0.17553699175703755,3214910.421492539,-101800.0,56400.0,117554.45000000001,56632.600000000006,-4931.511499999999,123855.53850000002,-123855.53850000072,-126760.4658422186,3.2507691130639644,1990
2017,98.30833333333334,3828490.0,81300.0,166900.0,346089.79,189900.0,12272.6745,796462.4645,3032027.5355,3084201.9518521656,0.2080356653667634,3828490.0,184000.0,110700.0,223080.0,133078.8,21056.695,671915.495,3156574.505,0.17550404859357083,3210892.0962956683,-102700.0,56200.0,123009.78999999998,56821.20000000001,-8784.0205,124546.9695,-124546.96949999966,-126690.14444350265,3.253161677319258,1990
2018,99.48333333333332,3878785.0,83200.0,170500.0,349713.0,191100.0,11636.355,806149.355,3072635.645,3088593.3774501593,0.2078355348388735,3878785.0,188000.0,114700.0,223080.0,133151.4,21333.3175,680264.7175,3198520.2824999997,0.17538087764596388,3215131.796783381,-104800.0,55800.0,126633.0,57948.600000000006,-9696.962500000001,125884.63749999995,-125884.63749999972,-126538.41933322186,3.2454657192909604,1990
2019,100.04166666666669,3866735.0,82700.0,169600.0,349164.0,190800.0,11600.205,803864.205,3062870.795,3061595.130362349,0.2078922411284972,3866735.0,187000.0,113700.0,223080.0,133129.8,21267.0425,678176.8425,3188558.1574999997,0.17538746319569354,3187230.1449396075,-104300.0,55900.0,126084.0,57670.20000000001,-9666.8375,125687.36249999993,-125687.36249999981,-125635.01457725838,3.250477793280365,1990
2020,100.0,3819595.0,81000.0,166200.0,346785.0,189500.0,11458.785,794943.785,3024651.215,3024651.215,0.2081225326245322,3819595.0,183300.0,110000.0,223080.0,133054.8,21007.7725,670442.5725,3149152.4275,0.1755271363848785,3149152.4275,-102300.0,56200.0,123705.0,56445.20000000001,-9548.9875,124501.21250000002,-124501.21250000037,-124501.21250000037,3.259539623965371,1990
2021,99.69166666666666,3830993.0,81500.0,167200.0,346419.0,189300.0,11492.979,795911.979,3035081.0209999997,3044468.1310708015,0.2077560514989195,3830993.0,184200.0,110900.0,223080.0,133038.0,21070.4615,672288.4615,3158704.5385,0.1754867371201148,3168474.0,-102700.0,56300.0,123339.0,56262.0,-9577.482500000002,123623.51750000007,-123623.51750000007,-124005.86892919848,3.2269314378804674,1990
2022,102.65,3906324.0,84200.0,172600.0,349164.0,190800.0,14020.561,810784.561,3095539.439,3015625.366780322,0.2075569156577897,3906324.0,190200.0,116900.0,223080.0,133130.4,21484.782,684795.182,3221528.818,0.17530424562837083,3138362.219191427,-106000.0,55700.0,126084.0,57669.600000000006,-7464.221,125989.37899999996,-125989.37900000019,-122736.85241110483,3.225267002941887,1990
2023,106.58333333333331,3953006.0,83800.0,161800.0,372405.0,203500.0,22907.3805,844412.3805,3108593.6195,2916585.1003909307,0.2136127242154451,3953006.0,191200.0,117900.0,240240.0,143250.6,21741.533,714332.1329999999,3238673.867,0.18070605837684028,3038630.680531666,-107400.0,43900.0,132165.0,60249.399999999994,1165.8474999999999,130080.24750000006,-130080.24750000006,-122045.58014073549,3.2906665838604825,1990
2024,109.975,4171715.0,61500.0,188000.0,379542.0,207400.0,25030.29,861472.29,3310242.71,3009995.6444646507,0.2065031503829959,4171715.0,208500.0,135200.0,240240.0,143485.2,22944.4325,750369.6325000001,3421345.3674999997,0.1798707803625128,3111021.0206865193,-147000.0,52800.0,139302.0,63914.79999999999,2085.857500000002,111102.65749999997,-111102.65749999974,-101025.37622186868,2.6632370020483105,1990
2025,114.025,4267634.0,75500.0,195400.0,382287.0,208900.0,23903.0995,885990.0995,3381643.9005,2965703.9250164437,0.2076068612022493,4267634.0,216100.0,142800.0,240240.0,143575.8,23471.987,766187.787,3501446.213,0.17953455872738852,3070770.6318789735,-140600.0,52600.0,142047.0,65324.20000000001,431.1124999999993,119802.3125,-119802.3125,-105066.70686252974,2.8072302474860784,1990
