分析ID,分析,レコード種別ID,レコード種別,年,期間,開始年,終了年,指標ID,指標,値,単位ID,単位,確認項目ID,確認項目,比較ケースID,比較ケース,備考,産業,事業所規模,就業形態,モデル年齢,モデル性別ID,モデル性別,住民税対応ID,住民税対応,CPI系列,基準年
take_home_wage,手取り賃金分析,annual_main,年次主系列,2009,,,,monthly_total_cash_earnings_yen,月間現金給与総額,316145.3333333333,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2010,,,,monthly_total_cash_earnings_yen,月間現金給与総額,318146.25,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2011,,,,monthly_total_cash_earnings_yen,月間現金給与総額,317604.25,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2012,,,,monthly_total_cash_earnings_yen,月間現金給与総額,315157.3333333333,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2013,,,,monthly_total_cash_earnings_yen,月間現金給与総額,315769.4166666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2014,,,,monthly_total_cash_earnings_yen,月間現金給与総額,318848.1666666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2015,,,,monthly_total_cash_earnings_yen,月間現金給与総額,315505.1666666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2016,,,,monthly_total_cash_earnings_yen,月間現金給与総額,317503.1666666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2017,,,,monthly_total_cash_earnings_yen,月間現金給与総額,319040.8333333333,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2018,,,,monthly_total_cash_earnings_yen,月間現金給与総額,323232.0833333333,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
take_home_wage,手取り賃金分析,annual_main,年次主系列,2019,,,,monthly_total_cash_earnings_yen,月間現金給与総額,322227.9166666667,yen,円,,,,,,調査産業計,5人以上,就業形態計,35,male,男性,income_year,所得年対応,持家の帰属家賃を除く総合,1990
